"","rank","name","age","country","source","industry","2022","2021","2020","2019","2018","2017","2016","2015"
"166",166,"Lui Che Woo ",93,"Hong Kong","casinos/hotels","Gambling & Casinos ","$11.6 B",NA,NA,"$14.8 B","$20.1 B","$12.10 B","$7.60 B","$13.50 B"
"167",167,"Brian Chesky ",40,"United States","Airbnb","Technology ","$11.5 B","$13.7 B","$4.1 B",NA,"$3.8 B","$3.80 B","$3.30 B","$1.90 B"
"168",167,"Israel Englander ",73,"United States","hedge funds","Finance & Investments ","$11.5 B","$9.6 B","$6.6 B",NA,"$5.2 B","$5.20 B","$5.00 B","$3.80 B"
"169",167,"Dustin Moskovitz ",37,"United States","Facebook","Technology ","$11.5 B","$17.8 B","$9.3 B","$12 B","$14 B","$10.70 B","$8.90 B","$7.90 B"
"170",167,"Alisher Usmanov ",68,"Russia","steel, telecom, investments","Metals & Mining ","$11.5 B","$18.4 B","$13.4 B","$15.9 B","$12.5 B","$15.20 B","$12.50 B","$14.40 B"
"171",171,"Jay Chaudhry ",62,"United States","security software","Technology ","$11.4 B","$10 B","$2.8 B",NA,NA,NA,NA,NA
"172",171,"Anthony Pratt ",61,"Australia","manufacturing","Manufacturing ","$11.4 B","$10.8 B","$8.7 B","$4.79 B","$5.5 B","$4.40 B","$3.60 B","$3.60 B"
"173",173,"Colin Zheng Huang ",42,"China","e-commerce","Technology ","$11.3 B","$55.3 B","$16.5 B",NA,NA,NA,NA,NA
"174",173,"Jin Baofang ",69,"China","solar panels","Energy ","$11.3 B","$3.9 B",NA,NA,NA,NA,NA,NA
"175",173,"Pierre Omidyar ",54,"United States","eBay, PayPal","Technology ","$11.3 B","$21.4 B","$11 B","$9.25 B","$10.5 B","$8.00 B","$7.20 B","$8.00 B"
"176",173,"Gennady Timchenko ",69,"Russia","oil, gas","Energy ","$11.3 B","$22 B","$14.4 B","$14.3 B","$16 B","$16.00 B","$11.40 B","$10.70 B"
"177",177,"Carl Cook ",59,"United States","medical devices","Healthcare ","$11.1 B","$9.9 B","$8 B","$13.2 B","$8 B","$7.40 B","$4.80 B","$6.50 B"
"178",177,"Andrey Melnichenko ",50,"Russia","coal, fertilizers","Metals & Mining ","$11.1 B","$17.9 B","$12.5 B","$14 B","$15.5 B","$13.20 B","$8.20 B","$9.10 B"
"179",179,"Xing Wang ",43,"China","e-commerce","Technology ","$11 B",NA,NA,NA,NA,NA,NA,NA
"180",180,"Philip Anschutz ",82,"United States","investments","Finance & Investments ","$10.9 B","$10.1 B","$11 B",NA,"$13 B","$12.50 B","$9.70 B","$11.80 B"
"181",180,"David Cheriton ",71,"Canada","Google","Technology ","$10.9 B","$8.8 B","$5.5 B","$4.28 B","$6 B","$4.20 B","$3.30 B","$2.90 B"
"182",180,"Alexander Otto ",54,"Germany","real estate","Real Estate ","$10.9 B","$11.8 B","$5 B","$5.17 B","$11.8 B",NA,NA,NA
"183",183,"Diane Hendricks ",75,"United States","roofing","Construction & Engineering ","$10.7 B","$8 B","$6.9 B","$5.37 B","$5.5 B","$3.90 B","$5.10 B","$3.60 B"
"184",183,"Stanley Kroenke ",74,"United States","sports, real estate","Sports ","$10.7 B","$8.2 B","$10 B",NA,"$8.3 B","$7.50 B","$7.70 B","$6.30 B"
"185",185,"Jerry Jones ",79,"United States","Dallas Cowboys","Sports ","$10.6 B","$8.9 B","$8 B","$5.99 B","$5.6 B","$5.20 B","$5.00 B","$4.20 B"
"186",185,"Quek Leng Chan ",80,"Malaysia","banking, property","Diversified ","$10.6 B","$9.7 B","$9.2 B","$5.14 B","$7.2 B","$6.80 B","$5.30 B","$5.60 B"
"187",185,"Eduardo Saverin ",40,"Brazil","Facebook","Technology ","$10.6 B","$14.6 B","$8.4 B","$9.18 B","$10.1 B","$7.90 B","$6.20 B","$4.80 B"
"188",188,"Vagit Alekperov ",71,"Russia","oil","Energy ","$10.5 B","$24.9 B","$15.2 B","$18.9 B","$16.4 B","$14.50 B","$8.90 B","$12.20 B"
"189",188,"Richard Liu ",48,"China","e-commerce","Technology ","$10.5 B",NA,NA,"$6.6 B",NA,NA,NA,NA
"190",188,"Idan Ofer ",66,"Israel","drilling, shipping","Diversified ","$10.5 B","$6.1 B","$3.7 B","$4.38 B","$3.6 B","$3.10 B","$3.70 B","$4.80 B"
"191",191,"Melker Schorling & family ",74,"Sweden","investments","Finance & Investments ","$10.4 B","$10.5 B","$5.6 B",NA,NA,NA,NA,NA
"192",192,"Chase Coleman, III. ",46,"United States","investments","Finance & Investments ","$10.3 B","$10.3 B","$4.5 B",NA,"$2.2 B","$1.90 B","$2.40 B","$2.10 B"
"193",192,"Shuirong Li ",65,"China","petrochemicals","Manufacturing ","$10.3 B",NA,NA,NA,NA,NA,NA,NA
"194",192,"Stefano Pessina ",80,"Monaco","drugstores","Fashion & Retail ","$10.3 B","$9.7 B","$10.2 B","$10.7 B","$11.8 B","$13.90 B","$13.40 B","$12.10 B"
"195",192,"Mikhail Prokhorov ",56,"Russia","investments","Finance & Investments ","$10.3 B","$11.4 B","$11.2 B","$10.7 B","$9.6 B","$8.90 B","$7.60 B","$9.90 B"
"196",192,"Marcel Herrmann Telles ",72,"Brazil","beer","Food & Beverage ","$10.3 B","$11.5 B","$6.5 B",NA,"$14 B","$14.80 B","$13.00 B","$13.00 B"
"197",197,"Leon Black ",70,"United States","private equity","Finance & Investments ","$10 B","$8.6 B","$6.6 B","$5.72 B","$6.5 B","$5.50 B","$4.50 B","$5.30 B"
"198",197,"Joe Gebbia ",40,"United States","Airbnb","Technology ","$10 B","$12.4 B","$4.1 B",NA,"$3.8 B","$3.80 B","$3.30 B","$1.90 B"
"199",197,"David Geffen ",79,"United States","movies, record labels","Media & Entertainment ","$10 B","$9.5 B","$7.6 B","$8.07 B","$8 B","$7.30 B","$6.50 B","$6.90 B"
"200",197,"Yu Renrong ",56,"China","semiconductors","Manufacturing ","$10 B","$12.3 B","$6 B",NA,NA,NA,NA,NA
"201",201,"Andrew Beal ",69,"United States","banks, real estate","Finance & Investments ","$9.9 B","$7.9 B","$7.9 B",NA,"$11.6 B","$10.40 B","$9.40 B","$11.70 B"
"202",201,"George Kaiser ",79,"United States","oil & gas, banking","Energy ","$9.9 B","$5.8 B","$5.6 B","$10.4 B","$7.8 B","$7.90 B","$7.10 B","$9.00 B"
"203",201,"Qi Shi & family ",52,"China","financial information","Technology ","$9.9 B","$10.4 B","$3.9 B",NA,NA,NA,NA,NA
"204",201,"Luis Carlos Sarmiento ",89,"Colombia","banking","Finance & Investments ","$9.9 B","$11 B","$9 B",NA,"$12.1 B","$11.00 B","$8.90 B","$13.40 B"
"205",201,"Andreas von Bechtolsheim & family ",66,"Germany","Google","Technology ","$9.9 B","$8.2 B","$5.7 B",NA,NA,NA,NA,NA
"206",206,"Jan Koum ",46,"United States","WhatsApp","Technology ","$9.8 B","$9.9 B","$9.7 B","$10.7 B","$9.1 B","$9.00 B","$8.60 B","$6.60 B"
"207",206,"Jorge Moll Filho & family ",77,"Brazil","hospitals","Healthcare ","$9.8 B","$11.3 B",NA,NA,NA,NA,NA,NA
"208",206,"Azim Premji ",76,"India","software services","Technology ","$9.8 B","$8.6 B","$6.1 B","$18.8 B","$18.8 B","$14.90 B","$15.00 B","$19.10 B"
"209",206,"Finn Rausing ",67,"Sweden","packaging","Food & Beverage ","$9.8 B","$13.9 B","$9.1 B","$6.15 B","$6.6 B","$6.00 B","$5.50 B","$5.10 B"
"210",206,"Jorn Rausing ",62,"Sweden","packaging","Food & Beverage ","$9.8 B","$13.9 B","$10.3 B","$7.05 B","$7 B","$6.10 B","$5.80 B","$5.50 B"
"211",206,"Kirsten Rausing ",69,"Sweden","packaging","Food & Beverage ","$9.8 B","$13.9 B","$9.1 B","$6.15 B","$6.6 B","$6.00 B","$5.50 B","$5.10 B"
"212",206,"Wang Laisheng ",57,"China","electronics components","Technology ","$9.8 B","$10.8 B","$5 B",NA,"$2.9 B","$1.70 B","$1.50 B","$1.30 B"
"213",213,"Tom & Judy Love ",64,"United States","retail & gas stations","Fashion & Retail ","$9.7 B","$10.8 B","$6.5 B",NA,"$5.8 B","$5.20 B","$5.90 B","$4.00 B"
"214",214,"John Collison ",31,"Ireland","payments software","Technology ","$9.5 B","$3.2 B","$3.2 B",NA,"$1 B","$1.10 B",NA,NA
"215",214,"Patrick Collison ",33,"Ireland","payment software","Technology ","$9.5 B","$3.2 B","$3.2 B",NA,"$1 B","$1.10 B",NA,NA
"216",214,"Gordon Moore ",93,"United States","Intel","Technology ","$9.5 B","$12.1 B","$9.8 B","$10.3 B","$8.5 B","$7.30 B","$6.00 B","$6.90 B"
"217",214,"Wang Laichun ",54,"China","electronics components","Technology ","$9.5 B","$10.7 B","$5.1 B",NA,"$2.9 B","$1.70 B","$1.50 B","$1.30 B"
"218",218,"Graeme Hart ",66,"New Zealand","investments","Finance & Investments ","$9.4 B","$8.7 B","$10.5 B","$6.94 B","$10.1 B","$9.50 B","$6.40 B","$6.90 B"
"219",218,"Zheng Shuliang & family ",76,"China","aluminum products","Metals & Mining ","$9.4 B","$8.6 B","$2.9 B",NA,NA,NA,NA,NA
"220",220,"Cao Renxian ",53,"China","photovoltaic equipment","Energy ","$9.3 B","$5.3 B",NA,NA,NA,NA,NA,NA
"221",221,"Nathan Blecharczyk ",38,"United States","Airbnb","Technology ","$9.2 B","$12.4 B","$4.1 B",NA,"$3.8 B","$3.80 B","$3.30 B","$1.90 B"
"222",221,"James Dyson ",74,"United Kingdom","vacuums","Manufacturing ","$9.2 B","$9.7 B","$5.9 B","$13.9 B","$5.6 B","$4.20 B","$4.00 B","$4.90 B"
"223",223,"Ivan Glasenberg ",65,"Switzerland","mining","Metals & Mining ","$9.1 B","$5.5 B","$2.6 B","$5.13 B","$6.5 B","$5.10 B","$2.10 B","$5.10 B"
"224",223,"Kim Beom-su ",56,"South Korea","online services","Technology ","$9.1 B","$9.3 B","$2.8 B",NA,"$2.7 B","$1.70 B","$1.70 B","$2.90 B"
"225",223,"Jay Y. Lee ",53,"South Korea","Samsung","Diversified ","$9.1 B","$8.3 B","$5 B",NA,"$7.4 B","$6.00 B","$6.00 B","$7.20 B"
"226",223,"Liu Yonghao & family ",70,"China","agribusiness","Service ","$9.1 B","$12.1 B","$12.3 B",NA,NA,NA,NA,NA
"227",227,"Ann Walton Kroenke ",73,"United States","Walmart","Fashion & Retail ","$9 B","$8.4 B","$7.9 B","$4.11 B","$6.6 B","$6.00 B","$4.50 B","$5.60 B"
"228",227,"Li Ping ",54,"Hong Kong","batteries","Automotive ","$9 B","$5.8 B","$2 B",NA,NA,NA,NA,NA
"229",227,"Eric Wittouck ",75,"Belgium","investments","Finance & Investments ","$9 B","$10 B","$8 B",NA,NA,NA,NA,NA
"230",230,"Ian & Richard Livingstone ",64,"United Kingdom","real estate","Real Estate ","$8.9 B","$9.3 B","$6.4 B",NA,"$6.4 B","$5.80 B","$5.10 B","$4.40 B"
"231",230,"Friedhelm Loh ",75,"Germany","manufacturing","Manufacturing ","$8.9 B","$9.7 B","$8.2 B",NA,"$3.6 B","$2.70 B","$2.40 B","$2.70 B"
"232",230,"Xavier Niel ",54,"France","internet, telecom","Telecom ","$8.9 B","$8.8 B","$6.1 B","$3.89 B","$8.1 B","$8.10 B","$8.60 B","$9.30 B"
"233",230,"Michael Otto ",78,"Germany","retail, real estate","Fashion & Retail ","$8.9 B","$8.9 B","$3.3 B","$4.01 B","$11 B","$7.70 B","$15.40 B","$18.10 B"
"234",230,"Johann Rupert & family ",71,"South Africa","luxury goods","Fashion & Retail ","$8.9 B","$7.1 B","$4.6 B",NA,NA,NA,NA,NA
"235",235,"Hui Ka Yan ",63,"China","real estate","Real Estate ","$8.8 B","$27.7 B","$21.8 B","$34.5 B","$30.3 B","$10.20 B","$8.60 B","$6.20 B"
"236",235,"Pauline MacMillan Keinath ",88,"United States","Cargill","Food & Beverage ","$8.8 B","$6.4 B","$4.8 B","$4.13 B","$7.4 B","$6.80 B","$5.70 B","$5.80 B"
"237",235,"Herbert Kohler, Jr. & family ",83,"United States","plumbing fixtures","Manufacturing ","$8.8 B","$9.8 B","$5.9 B",NA,NA,NA,NA,NA
"238",235,"Li Ge ",55,"United States","pharmaceutical ingredients","Healthcare ","$8.8 B","$10.1 B","$5 B",NA,"$2 B",NA,NA,NA
"239",235,"Kushal Pal Singh ",90,"India","real estate","Real Estate ","$8.8 B","$8.3 B","$3.7 B",NA,"$6.4 B","$4.10 B","$2.80 B","$3.40 B"
"240",235,"Zong Qinghou ",76,"China","beverages","Food & Beverage ","$8.8 B","$8.8 B","$8.3 B","$4.13 B","$9.5 B","$7.20 B","$6.20 B","$10.30 B"
"241",241,"Cai Kui ",59,"China","real estate","Real Estate ","$8.7 B","$10.4 B","$6.9 B","$5.24 B","$4.6 B","$2.70 B","$2.00 B","$2.10 B"
"242",241,"Charles Ergen ",69,"United States","satellite TV","Media & Entertainment ","$8.7 B","$9.6 B","$5.4 B",NA,"$13.4 B","$18.30 B","$12.20 B","$20.10 B"
"243",241,"Gao Jifan & family ",57,"China","solar equipment","Energy ","$8.7 B","$2.4 B",NA,NA,NA,NA,NA,NA
"244",241,"Bernard Marcus ",92,"United States","Home Depot","Fashion & Retail ","$8.7 B","$7.2 B","$4.6 B",NA,"$5.1 B","$4.00 B","$3.30 B","$3.80 B"
"245",241,"Nicky Oppenheimer & family ",76,"South Africa","diamonds","Metals & Mining ","$8.7 B","$8 B","$7.4 B",NA,NA,NA,NA,NA
"246",246,"Bajaj brothers ",64,"India","diversified","Diversified ","$8.6 B","$7 B","$4.2 B",NA,"$4.8 B","$3.50 B",NA,NA
"247",246,"Ernest Garcia, II. ",64,"United States","used cars","Automotive ","$8.6 B","$15.9 B","$2.4 B",NA,"$2.2 B",NA,NA,NA
"248",246,"Paul Xiaoming Lee & family ",64,"United States","packaging","Manufacturing ","$8.6 B","$4 B","$1.7 B",NA,NA,NA,NA,NA
"249",246,"George Soros ",91,"United States","hedge funds","Finance & Investments ","$8.6 B","$8.6 B","$8.3 B","$7 B","$8 B","$25.20 B","$24.90 B","$24.20 B"
"250",246,"Wang Liping & family ",56,"China","hydraulic machinery","Manufacturing ","$8.6 B","$13.1 B","$4.5 B",NA,NA,NA,NA,NA
"251",251,"Ernesto Bertarelli ",56,"Switzerland","biotech, investments","Healthcare ","$8.5 B","$8.6 B","$8 B","$15.6 B","$8.9 B","$8.60 B","$8.60 B","$8.80 B"
"252",251,"Tamara Gustavson ",60,"United States","self storage","Service ","$8.5 B","$5.6 B","$4.5 B",NA,"$4.4 B","$5.00 B","$5.00 B","$4.30 B"
"253",251,"Carlos Alberto Sicupira & family ",74,"Brazil","beer","Food & Beverage ","$8.5 B","$8.7 B","$4.8 B",NA,NA,NA,NA,NA
"254",254,"Laurent Dassault ",68,"France","diversified","Diversified ","$8.4 B","$7.3 B","$4.7 B",NA,NA,NA,NA,NA
"255",254,"Thierry Dassault ",65,"France","diversified","Diversified ","$8.4 B","$7.3 B","$4.7 B",NA,NA,NA,NA,NA
"256",254,"Marie-Hélène Habert-Dassault ",57,"France","diversified","Diversified ","$8.4 B",NA,NA,NA,NA,NA,NA,NA
"257",254,"Liu Jincheng & family ",57,"China","lithium batteries","Technology ","$8.4 B","$8.7 B","$2.4 B",NA,NA,NA,NA,NA
"258",254,"Ma Jianrong & family ",58,"China","textiles, apparel","Fashion & Retail ","$8.4 B","$12.5 B","$6.7 B",NA,NA,NA,NA,NA
"259",254,"Steven Rales ",71,"United States","manufacturing, investments","Manufacturing ","$8.4 B","$8.9 B","$5.8 B",NA,"$5.6 B","$5.10 B","$3.60 B","$3.70 B"
"260",254,"Joseph Tsai ",58,"Canada","e-commerce","Technology ","$8.4 B","$11.6 B","$10 B","$10.8 B","$9.7 B","$5.80 B","$4.20 B","$5.90 B"
"261",254,"Francine von Finck & family ",64,"Germany","investments","Finance & Investments ","$8.4 B",NA,NA,NA,NA,NA,NA,NA
"262",254,"Anthony von Mandl ",72,"Canada","alcoholic beverages","Food & Beverage ","$8.4 B","$8.7 B","$3.3 B",NA,NA,NA,NA,NA
"263",263,"Carl Bennet ",70,"Sweden","investments","Finance & Investments ","$8.3 B","$7.1 B","$3 B",NA,"$4.1 B","$2.50 B","$2.30 B","$2.60 B"
"264",263,"Robert Kraft ",80,"United States","New England Patriots","Sports ","$8.3 B","$6.9 B","$6.9 B",NA,"$6.2 B","$5.10 B","$4.80 B","$4.30 B"
"265",263,"Chairul Tanjung ",59,"Indonesia","diversified","Diversified ","$8.3 B","$4.8 B","$3.1 B",NA,"$3.5 B","$4.60 B","$4.90 B","$4.30 B"
"266",263,"Manuel Villar ",72,"Philippines","real estate","Real Estate ","$8.3 B","$7.2 B","$5.6 B",NA,"$3 B","$1.50 B","$1.30 B","$1.60 B"
"267",267,"Jean-Michel Besnier ",54,"France","cheese","Food & Beverage ","$8.2 B","$6.7 B","$4.4 B",NA,"$5.4 B","$4.00 B","$2.70 B","$2.50 B"
"268",267,"Marie Besnier Beauvalot ",41,"France","cheese","Food & Beverage ","$8.2 B","$6.7 B","$4.4 B",NA,"$5.4 B","$4.00 B","$2.70 B","$2.50 B"
"269",267,"Gustaf Douglas ",84,"Sweden","investments","Diversified ","$8.2 B","$7 B","$3.9 B","$7.31 B","$3.8 B","$3.30 B","$4.70 B","$4.20 B"
"270",267,"Kjeld Kirk Kristiansen ",74,"Denmark","Lego","Manufacturing ","$8.2 B","$8.7 B","$6.1 B",NA,"$5.4 B","$21.10 B","$13.10 B","$9.70 B"
"271",267,"Sofie Kirk Kristiansen ",46,"Denmark","Lego","Manufacturing ","$8.2 B","$8.7 B","$6.1 B",NA,"$5.4 B",NA,NA,NA
"272",267,"Thomas Kirk Kristiansen ",43,"Denmark","Lego","Manufacturing ","$8.2 B","$8.7 B","$6.1 B",NA,"$5.4 B",NA,NA,NA
"273",267,"Stephen Ross ",81,"United States","real estate","Real Estate ","$8.2 B","$7 B","$7.6 B","$10.1 B","$7.6 B","$7.40 B","$12.00 B","$6.50 B"
"274",267,"Agnete Kirk Thinggaard ",38,"Denmark","Lego","Manufacturing ","$8.2 B","$8.7 B","$6.1 B",NA,"$5.4 B",NA,NA,NA
"275",275,"Marc Benioff ",57,"United States","business software","Technology ","$8.1 B","$8.4 B","$5.8 B","$6.76 B","$4.9 B","$4.00 B","$3.30 B","$3.40 B"
"276",275,"Dmitri Bukhman ",36,"Israel","online games","Media & Entertainment ","$8.1 B",NA,NA,NA,NA,NA,NA,NA
"277",275,"Igor Bukhman ",40,"Israel","online games","Media & Entertainment ","$8.1 B","$7.9 B","$3.1 B",NA,NA,NA,NA,NA
"278",275,"Francis Choi ",74,"Hong Kong","real estate","Real Estate ","$8.1 B","$6.6 B","$6.6 B","$4.8 B","$6.4 B","$5.90 B","$5.70 B","$3.70 B"
"279",275,"Murali Divi & family ",71,"India","pharmaceuticals","Healthcare ","$8.1 B","$6.8 B","$3.5 B",NA,NA,NA,NA,NA
"280",275,"Nancy Walton Laurie ",70,"United States","Walmart","Fashion & Retail ","$8.1 B","$7.5 B","$7.1 B","$4.93 B","$5.8 B","$4.30 B","$4.00 B","$4.70 B"
"281",275,"Georg Schaeffler ",57,"Germany","auto parts","Automotive ","$8.1 B","$14.9 B","$6.3 B","$11.8 B","$25.3 B","$20.70 B","$18.10 B","$26.90 B"
"282",275,"Yao Liangsong ",57,"China","furniture","Manufacturing ","$8.1 B","$9.6 B","$4 B","$4.47 B","$5.8 B","$1.10 B",NA,NA
"283",275,"Zhong Huijuan ",61,"China","pharmaceuticals","Healthcare ","$8.1 B","$19.7 B","$14.6 B",NA,NA,NA,NA,NA
"284",284,"Stewart & Lynda Resnick ",64,"United States","agriculture, water","Food & Beverage ","$8 B",NA,NA,NA,NA,NA,NA,NA
"285",284,"George Roberts ",78,"United States","private equity","Finance & Investments ","$8 B","$7.6 B","$5.3 B","$5.94 B","$5.4 B","$5.00 B","$4.10 B","$5.20 B"
"286",284,"Michael Rubin ",49,"United States","online retail","Fashion & Retail ","$8 B","$3.5 B","$2.9 B",NA,"$3 B","$2.30 B","$2.30 B","$2.70 B"
"287",284,"Patrick Ryan ",84,"United States","insurance","Finance & Investments ","$8 B","$3.4 B","$2.9 B",NA,"$2.6 B","$2.50 B","$2.30 B","$2.60 B"
"288",288,"Christopher Hohn ",55,"United Kingdom","hedge funds","Finance & Investments ","$7.9 B","$5.9 B","$5 B",NA,"$3 B","$2.10 B","$1.70 B",NA
"289",288,"Marijke Mars ",57,"United States","candy, pet food","Food & Beverage ","$7.9 B","$7.8 B","$6.2 B","$8.96 B","$5.9 B",NA,NA,NA
"290",288,"Pamela Mars ",61,"United States","candy, pet food","Food & Beverage ","$7.9 B","$7.8 B","$6.2 B",NA,"$5.9 B",NA,NA,NA
"291",288,"Valerie Mars ",63,"United States","candy, pet food","Food & Beverage ","$7.9 B","$7.8 B","$6.2 B","$8.96 B","$5.9 B",NA,NA,NA
"292",288,"Victoria Mars ",65,"United States","candy, pet food","Food & Beverage ","$7.9 B","$7.8 B","$6.2 B","$8.96 B","$5.9 B",NA,NA,NA
"293",288,"Hasso Plattner & family ",78,"Germany","software","Technology ","$7.9 B","$8.3 B","$12.4 B",NA,NA,NA,NA,NA
"294",288,"Georg Stumpf ",49,"Austria","real estate, construction","Diversified ","$7.9 B","$6.5 B","$4.4 B",NA,"$2.9 B","$1.50 B",NA,NA
"295",288,"Christy Walton ",73,"United States","Walmart","Fashion & Retail ","$7.9 B","$7.2 B","$8.9 B","$7.27 B","$7.3 B","$5.40 B","$5.20 B","$41.70 B"
"296",296,"Giorgio Armani ",87,"Italy","luxury goods","Fashion & Retail ","$7.8 B","$7.7 B","$5.4 B","$6.11 B","$8.9 B","$6.60 B","$6.10 B","$7.60 B"
"297",296,"Gopikishan Damani ",64,"India","retail, investments","Fashion & Retail ","$7.8 B","$6.5 B",NA,NA,NA,NA,NA,NA
"298",296,"Ding Shizhong & family ",51,"China","sports apparel","Fashion & Retail ","$7.8 B","$9.4 B","$3.9 B",NA,NA,NA,NA,NA
"299",296,"Jim Kennedy ",74,"United States","media, automotive","Media & Entertainment ","$7.8 B","$9.4 B","$7.6 B","$8.57 B","$13 B","$12.20 B","$9.70 B","$8.50 B"
"300",296,"German Khan ",60,"Russia","oil, banking, telecom","Energy ","$7.8 B","$10.1 B","$8.5 B","$8.72 B","$9.8 B","$9.30 B","$8.70 B","$9.50 B"
"301",296,"Liang Wengen ",65,"China","construction equipment","Manufacturing ","$7.8 B","$14.1 B","$6.1 B",NA,"$4.6 B","$3.80 B","$3.50 B","$4.90 B"
"302",296,"Blair Parry-Okeden ",71,"United States","media, automotive","Media & Entertainment ","$7.8 B","$9.4 B","$7.6 B","$8.57 B","$13 B","$12.20 B","$9.70 B","$8.50 B"
"303",296,"Tsai Eng-meng ",65,"Taiwan","food, beverages","Food & Beverage ","$7.8 B","$6.3 B","$5.3 B","$6.06 B","$6.8 B","$6.20 B","$6.00 B","$8.90 B"
"304",304,"Bajaj siblings ",64,"India","two-wheelers, finance","Automotive ","$7.7 B",NA,NA,NA,NA,NA,NA,NA
"305",304,"Ashwin Dani & family ",79,"India","paints","Manufacturing ","$7.7 B","$6.3 B",NA,NA,NA,NA,NA,NA
"306",304,"Ding Shijia ",58,"China","sports apparel","Fashion & Retail ","$7.7 B","$9.3 B","$3.9 B",NA,"$2.8 B","$2.10 B","$1.60 B","$1.30 B"
"307",304,"Karel Komarek ",53,"Czechia","oil and gas, IT, lotteries","Gambling & Casinos ","$7.7 B","$5.5 B","$3.1 B",NA,"$3.2 B","$2.20 B","$1.60 B","$1.70 B"
"308",304,"Henry Kravis ",78,"United States","private equity","Finance & Investments ","$7.7 B","$7.3 B","$5.2 B","$5.99 B","$5.3 B","$5.00 B","$4.20 B","$5.20 B"
"309",304,"Frederik Paulsen ",71,"Sweden","health care","Healthcare ","$7.7 B","$7.7 B","$5.8 B","$6.57 B","$7.3 B","$6.80 B","$6.00 B","$4.90 B"
"310",304,"Safra siblings ",64,"Brazil","banking","Finance & Investments ","$7.7 B","$7.1 B",NA,NA,NA,NA,NA,NA
"311",304,"Nassef Sawiris ",61,"Egypt","construction, investments","Construction & Engineering ","$7.7 B","$8.3 B","$5 B","$6.94 B","$6.6 B","$5.60 B","$3.70 B","$6.30 B"
"312",304,"Xu Shihui ",64,"China","snacks, beverages","Food & Beverage ","$7.7 B","$8.7 B","$8 B","$8.31 B","$11.3 B","$6.60 B","$6.20 B",NA
"313",313,"Rahel Blocher ",46,"Switzerland","chemicals","Manufacturing ","$7.6 B","$7.1 B","$4.9 B","$4.76 B","$5.5 B","$4.60 B","$3.70 B","$3.50 B"
"314",313,"Shahid Khan ",71,"United States","auto parts","Automotive ","$7.6 B","$8 B","$7.8 B","$4.65 B","$7.2 B","$8.20 B","$5.90 B","$4.50 B"
"315",313,"Magdalena Martullo-Blocher ",53,"Switzerland","chemicals","Manufacturing ","$7.6 B","$7.1 B","$5 B","$4.86 B","$5.5 B","$4.50 B","$3.70 B","$3.40 B"
"316",316,"Vincent Bolloré & family ",70,"France","investments","Finance & Investments ","$7.5 B","$7 B",NA,NA,NA,NA,NA,NA
"317",316,"Jeffery Hildebrand ",63,"United States","oil","Energy ","$7.5 B","$2 B","$2.2 B",NA,"$3.6 B","$4.30 B","$4.20 B","$4.90 B"
"318",316,"Michael Kim ",58,"United States","private equity","Finance & Investments ","$7.5 B","$1.9 B","$1.5 B",NA,"$1 B",NA,NA,NA
"319",316,"Richard Kinder ",77,"United States","pipelines","Energy ","$7.5 B","$7 B","$5.2 B","$7.38 B","$6.2 B","$7.20 B","$5.40 B","$12.00 B"
"320",316,"David Shaw ",71,"United States","hedge funds","Finance & Investments ","$7.5 B","$7.3 B","$7.3 B","$5.32 B","$6.4 B","$5.40 B","$5.00 B","$4.10 B"
"321",321,"John Malone ",81,"United States","cable television","Media & Entertainment ","$7.4 B","$7.8 B","$5.8 B","$8.68 B","$8.1 B","$7.70 B","$6.30 B","$8.30 B"
